resource-type,md-file
aws.ses-configuration-set-v2,aws.ses-configuration-set-v2.md
aws.ses-email-identity,aws.ses-email-identity.md
aws.ses-ingress-endpoint,aws.ses-ingress-endpoint.md
aws.ses-receipt-rule-set,aws.ses-receipt-rule-set.md
aws.sfn-activity,aws.sfn-activity.md
aws.shield-attack,aws.shield-attack.md
aws.shield-protection,aws.shield-protection.md
aws.simpledb,aws.simpledb.md
aws.snowball,aws.snowball.md
aws.snowball-cluster,aws.snowball-cluster.md
aws.sns,aws.sns.md
aws.sns-subscription,aws.sns-subscription.md
aws.sqs,aws.sqs.md
aws.ssm-activation,aws.ssm-activation.md
aws.ssm-data-sync,aws.ssm-data-sync.md
aws.ssm-document,aws.ssm-document.md
aws.ssm-managed-instance,aws.ssm-managed-instance.md
aws.ssm-parameter,aws.ssm-parameter.md
aws.ssm-patch-group,aws.ssm-patch-group.md
aws.ssm-session-manager,aws.ssm-session-manager.md
aws.step-machine,aws.step-machine.md
aws.storage-gateway,aws.storage-gateway.md
aws.streaming-distribution,aws.streaming-distribution.md
aws.subnet,aws.subnet.md
aws.support-case,aws.support-case.md
aws.swf-domain,aws.swf-domain.md
aws.timestream-database,aws.timestream-database.md
aws.timestream-influxdb,aws.timestream-influxdb.md
aws.timestream-table,aws.timestream-table.md
aws.transfer-server,aws.transfer-server.md
aws.transfer-user,aws.transfer-user.md
aws.transit-attachment,aws.transit-attachment.md
aws.transit-gateway,aws.transit-gateway.md
aws.user-pool,aws.user-pool.md
aws.vpc,aws.vpc.md
aws.vpc-endpoint,aws.vpc-endpoint.md
aws.vpn-connection,aws.vpn-connection.md
aws.vpn-gateway,aws.vpn-gateway.md
aws.waf,aws.waf.md
aws.waf-regional,aws.waf-regional.md
aws.wafv2,aws.wafv2.md
aws.workspaces,aws.workspaces.md
aws.workspaces-bundle,aws.workspaces-bundle.md
aws.workspaces-directory,aws.workspaces-directory.md
aws.workspaces-image,aws.workspaces-image.md
aws.workspaces-web,aws.workspaces-web.md
aws.xray-group,aws.xray-group.md
aws.xray-rule,aws.xray-rule.md
